zf_gene_id;zf11_gene;mouse_gene;zf10_gene
ENSDARG00000079585;pkn3;Pkn3;pkn3
ENSDARG00000020656;prkg1a;Prkg1;prkg1a
ENSDARG00000020964;thap12b;Thap12;prkrirb
ENSDARG00000037946;prl;Prl3d1;prl
ENSDARG00000039997;ptp4a3a;Ptp4a3;ptp4a3
ENSDARG00000018744;prl2;Prl3a1;prl2
ENSDARG00000036755;prmt9;Prmt9;prmt9
ENSDARG00000018698;carm1;Carm1;carm1
ENSDARG00000079605;prmt5;Prmt5;prmt5
ENSDARG00000026229;prnpa;Prnp;prnpa
ENSDARG00000044048;prnpb;Prnp;prnpb
ENSDARG00000093079;proca;Proc;proca
ENSDARG00000010085;p4ha2;P4ha2;p4ha2
ENSDARG00000032234;wnt2bb;Wnt2b;wnt2bb
ENSDARG00000034007;prom1b;Prom1;prom1b
ENSDARG00000058558;lzts3b;Lzts3;lzts3b
ENSDARG00000009640;psmb1;Psmb1;psmb1
ENSDARG00000013938;psmb3;Psmb3;psmb3
ENSDARG00000036041;f2;F2;f2
ENSDARG00000056087;ecrg4a;Ecrg4;ecrg4a
ENSDARG00000055158;prox1a;Prox1;prox1a
ENSDARG00000041952;prox2;Prox2;prox2
ENSDARG00000040310;prpf4bb;Prpf4b;prpf4bb
ENSDARG00000053708;ghrhrb;Ghrhr;ghrhrb
ENSDARG00000075977;prr5a;Prr5;prr5a
ENSDARG00000099462;prlh;Prlh;prlh
ENSDARG00000044900;prlhr2a;Prlhr;prlhr2a
ENSDARG00000088343;prrt4a;Prrt4;prrt4
ENSDARG00000038278;ptgir;Ptgir;ptgir
ENSDARG00000037033;ptger2b;Ptger2;ptger2b
ENSDARG00000079907;ptger4c;Ptger4;ptger4c
ENSDARG00000076602;prss59;Prss16;prss16
ENSDARG00000018936;zcchc17;Zcchc17;zcchc17
ENSDARG00000099323;dlg2;Dlg2;dlg2
ENSDARG00000040121;psma2a;Psma2;psma2
ENSDARG00000030537;psmc1a;Psmc1;psmc1a
ENSDARG00000005134;psmd11b;Psmd11;psmd11b
ENSDARG00000103600;st8sia4;St8sia4;st8sia4
ENSDARG00000012588;ptdss1a;Ptdss1;ptdss1a
ENSDARG00000014479;ptf1a;Ptf1a;ptf1a
ENSDARG00000078172;ptgfrna;Ptgfrn;ENSDARG00000078172
ENSDARG00000060094;ptgis;Ptgis;ptgis
ENSDARG00000093738;pth1a;Pth;pth1a
ENSDARG00000020957;pth1r;Pth1r;pth1ra
ENSDARG00000091961;pth1b;Pth;pth1b
ENSDARG00000006678;pth2ra;Pth2r;pth2r
ENSDARG00000031737;pthlha;Pthlh;pthlha
ENSDARG00000071070;pthlhb;Pthlh;pthlhb
ENSDARG00000022841;ptk2ba;Ptk2b;ptk2ba
ENSDARG00000011863;ptk7a;Ptk7;ptk7a
ENSDARG00000061656;ptpdc1a;Ptpdc1;ptpdc1a
ENSDARG00000016038;hacd3;Hacd3;hacd3
ENSDARG00000014806;hacd2;Hacd2;hacd2
ENSDARG00000098689;ptpn23b;Ptpn23;ptpn23b
ENSDARG00000019945;ptprdb;Ptprd;ptprdb
ENSDARG00000076411;cavin1a;Cavin1;cavin1a
ENSDARG00000040039;pttg1ipb;Pttg1ip;pttg1ipb
ENSDARG00000071457;crp6;Crp;crp6
ENSDARG00000071456;crp7;Apcs;crp7
ENSDARG00000044282;smc5;Smc5;smc5
ENSDARG00000069282;bbc3;Bbc3;bbc3
ENSDARG00000067591;puraa;Pura;puraa
ENSDARG00000103546;purbb;Purb;purbb
ENSDARG00000103638;nectin3a;Nectin3;CR936977.2
ENSDARG00000004891;pex19;Pex19;pex19
ENSDARG00000062421;pex2;Pex2;pex2
ENSDARG00000088590;pxna;Pxn;pxna
ENSDARG00000029766;nr1i2;Nr1i2;nr1i2
ENSDARG00000102254;pycr1a;Pycr2;pycr1a
ENSDARG00000098639;pycr1b;Pycr1;pycr1b
ENSDARG00000015236;pycr3;Pycr3;pycr3
ENSDARG00000079280;dhrsx;Dhrsx;dhrsx
ENSDARG00000053449;pyya;Pyy;pyya
ENSDARG00000010316;qars1;Qars1;qars
ENSDARG00000037378;qdprb.1;Qdpr;qdprb1
ENSDARG00000010018;qki2;Qki;qki2
ENSDARG00000016093;qtrt2;Qtrt2;qtrtd1
ENSDARG00000009466;rgs9bp;Rgs9bp;rgs9bp
ENSDARG00000041878;rab11ba;Rab11b;rab11ba
ENSDARG00000090170;rab11fip4a;Rab11fip4;rab11fip4a
ENSDARG00000058800;rab25a;Rab25;rab25a
ENSDARG00000045628;rab34a;Rab34;rab34a
ENSDARG00000058425;rab35b;Rab35;rab35b
ENSDARG00000036501;rab39bb;Rab39b;rab39bb
ENSDARG00000043835;rab3ab;Rab3a;rab3ab
ENSDARG00000056347;rab3aa;Rab3a;rab3aa
ENSDARG00000007257;rab5ab;Rab5a;rab5ab
ENSDARG00000034522;rab6ba;Rab6b;rab6ba
ENSDARG00000017006;dennd5a;Dennd5a;dennd5a
ENSDARG00000020497;rab7a;Rab7;rab7
ENSDARG00000067920;rab8a;Rab8a;rab8a
ENSDARG00000068628;rab8b;Rab8b;rab8b
ENSDARG00000059600;rabep1;Rabep1;rabep1
ENSDARG00000015968;rabgef1l;Rabgef1;rabgef1l
ENSDARG00000101908;rab3ip;Rab3ip;rab3ip
ENSDARG00000020822;ift22;Ift22;ift22
ENSDARG00000074849;rac1a;Rac1;rac1a
ENSDARG00000090062;rac3a;Rac3;rac3a
ENSDARG00000006092;rad21a;Rad21;rad21a
ENSDARG00000020001;rad23aa;Rad23a;rad23aa
ENSDARG00000037046;rad51b;Rad51b;rad51b
ENSDARG00000075632;rad9b;Rad9b;rad9b
ENSDARG00000069473;frem1a;Frem1;frem1a
ENSDARG00000015158;slc50a1;Slc50a1;slc50a1
ENSDARG00000067918;elp5;Elp5;elp5
ENSDARG00000045463;ralaa;Rala;ralaa
ENSDARG00000040778;ralba;Ralb;ralba
ENSDARG00000076933;aldh1a3;Aldh1a3;aldh1a3
ENSDARG00000008727;ranbp3a;Ranbp3;ranbp3a
ENSDARG00000056059;rangap1b;Rangap1;rangap1b
ENSDARG00000070165;tnfrsf1b;Tnfrsf1b;tnfrsf1b
ENSDARG00000068141;tnfsf11;Tnfsf11;tnfsf11
ENSDARG00000103977;terf2ip;Terf2ip;terf2ip
ENSDARG00000087346;rap1ab;Rap1a;rap1ab
ENSDARG00000012553;rap1aa;Rap1a;rap1aa
ENSDARG00000056554;rap1gapa;Rap1gap;rap1gap
ENSDARG00000002546;rundc3ab;Rundc3a;rundc3ab
ENSDARG00000015971;rapgef1b;Rapgef1;rapgef1b
ENSDARG00000074307;rapgef5b;Rapgef5;rapgef5b
ENSDARG00000041133;rapsn;Rapsn;rapsn
ENSDARG00000043102;lxn;Lxn;lxn
ENSDARG00000054530;rars1;Rars1;rars
ENSDARG00000033614;rasgef1ba;Rasgef1b;rasgef1ba
ENSDARG00000002816;rasgrf2b;Rasgrf2;rasgrf2b
ENSDARG00000044044;rassf2b;Rassf2;rassf2b
ENSDARG00000029865;rassf2a;Rassf2;rassf2a
ENSDARG00000012460;rassf4a;Rassf4;rassf4
ENSDARG00000029058;rbbp4;Rbbp4;rbbp4
ENSDARG00000070916;dnajc27;Dnajc27;dnajc27
ENSDARG00000102995;rbm24a;Rbm24;rbm24a
ENSDARG00000011245;esrp1;Esrp1;esrp1
ENSDARG00000011613;rbm39a;Rbm39;rbm39a
ENSDARG00000041853;rbm39b;Rbm39;rbm39b
ENSDARG00000036386;rbm4.1;Rbm4;rbm4.1
ENSDARG00000055080;rbm4.2;Rbm4;rbm4.2
ENSDARG00000052182;rbfox2;Rbfox2;rbfox2
ENSDARG00000044179;rbms2a;Rbms2;rbms2a
ENSDARG00000018077;rbp1.1;Rbp1;rbp1
ENSDARG00000091906;rbp7a;Rbp7;rbp7a
ENSDARG00000062467;stra6l;Stra6l;stra6l
ENSDARG00000062550;rc3h1a;Rc3h1;rc3h1a
ENSDARG00000015002;cdh4;Cdh4;cdh4
ENSDARG00000069373;crcp;Crcp;crcp
ENSDARG00000052223;rcvrna;Rcvrn;rcvrna
ENSDARG00000009637;rcvrn3;Rcvrn;rcvrn3
ENSDARG00000004343;nelfe;Nelfe;nelfe
ENSDARG00000019260;dhrs9;Dhrs9;dhrs9
ENSDARG00000105060;rdh8b;Rdh8;rdh8b
ENSDARG00000017882;rdh1;Rdh5;rdh1
ENSDARG00000017794;sdr16c5b;Sdr16c5;sdr16c5b
ENSDARG00000038018;prph2a;Prph2;prph2a
ENSDARG00000014840;prph2b;Prph2;prph2b
ENSDARG00000059556;recql5;Recql5;recql5
ENSDARG00000037618;ddit4;Ddit4;ddit4
ENSDARG00000016302;upf1;Upf1;upf1
ENSDARG00000024006;rprmb;Rprm;rprmb
ENSDARG00000075670;rereb;Rere;rereb
ENSDARG00000019396;rergla;Rergl;rergla
ENSDARG00000018600;retsat.2;Retsat;retsat
ENSDARG00000069294;insl5b;Insl5;insl5b
ENSDARG00000070780;rln3a;Rln3;rln3a
ENSDARG00000035862;insl3;Insl3;insl3
ENSDARG00000079329;cop1;Cop1;rfwd2
ENSDARG00000041575;trmt10c;Trmt10c;trmt10c
ENSDARG00000071213;rgl3a;Rgl3;rgl3a
ENSDARG00000054890;rgra;Rgr;rgra
ENSDARG00000098724;rgrb;Rgr;rgrb
ENSDARG00000017653;rgs13a;Rgs13;rgs13
ENSDARG00000021521;rgs14a;Rgs14;rgs14a
ENSDARG00000104483;gipc1;Gipc1;gipc1
ENSDARG00000099746;rgs3a;Rgs3;rgs3a
ENSDARG00000016584;rgs7a;Rgs7;rgs7a
ENSDARG00000037925;rgs9a;Rgs9;rgs9a
ENSDARG00000070666;rhol;Rho;rhol
ENSDARG00000002194;rhd;Rhd;rhd
ENSDARG00000036541;rhbdf1a;Rhbdf1;rhbdf1a
ENSDARG00000018328;rhocb;Rhoc;rhocb
ENSDARG00000021309;rhoca;Rhoc;rhoca
ENSDARG00000004301;rhogb;Rhog;rhogb
ENSDARG00000103313;rhot1b;Rhot1;rhot1b
ENSDARG00000019709;rhoua;Rhou;rhoua
ENSDARG00000104290;ripk2;Ripk2;ripk2
ENSDARG00000053542;kctd12.2;Kctd12;kctd12.2
ENSDARG00000068973;pdlim4;Pdlim4;pdlim4
ENSDARG00000101606;rims2a;Rims2;rims2a
ENSDARG00000074589;rin2a;Rin2;rin2
ENSDARG00000006677;ripk1l;Ripk1;ripk1l
ENSDARG00000000853;dstyk;Dstyk;dstyk
ENSDARG00000076509;polr2d;Polr2d;polr2d
ENSDARG00000004218;rnd1b;Rnd1;rnd1b
ENSDARG00000062450;rnf115a;Rnf115;rnf115
ENSDARG00000079306;rlim;Rlim;rlim
ENSDARG00000016867;rnf128a;Rnf128;rnf128a
ENSDARG00000042557;rnf144ab;Rnf144a;rnf144ab
ENSDARG00000024827;rnf150a;Rnf150;rnf150a
ENSDARG00000077906;ark2ca;Ark2c;rnf165a
ENSDARG00000057101;rnf180b;Rnf180;rnf180
ENSDARG00000012409;rnf207b;Rnf207;rnf207b
ENSDARG00000090904;obi1;Obi1;RNF219
ENSDARG00000060688;trim69;Trim7;trim69
ENSDARG00000016543;mrm3a;Mrm3;rnmtl1a
ENSDARG00000041991;rrp9;Rrp9;rrp9
ENSDARG00000008395;snupn;Snupn;snupn
ENSDARG00000017500;rock2a;Rock2;rock2a
ENSDARG00000043757;ptbp3;Ptbp3;ptbp3
ENSDARG00000059558;tecta;Tecta;tecta
ENSDARG00000032431;mpv17;Mpv17;mpv17
ENSDARG00000093750;cd180;Cd180;cd180
ENSDARG00000089458;rp1l1a;Rp1l1;rp1l1a
ENSDARG00000035146;polr2j;Polr2j;polr2j
ENSDARG00000007480;rpe65a;Rpe65;rpe65a
ENSDARG00000057074;rpgrb;Rpgr;rpgrb
ENSDARG00000005791;rpl28;Rpl28;rpl28
ENSDARG00000007720;sub1b;Sub1;sub1b
ENSDARG00000043404;rpp21;Rpp21;rpp21
ENSDARG00000017605;rpp40;Rpp40;rpp40
ENSDARG00000001769;ptpra;Ptpra;ptpra
ENSDARG00000033855;cnot9;Cnot9;rqcd1
ENSDARG00000069829;rragca;Rragc;rragca
ENSDARG00000041703;rrbp1b;Rrbp1;rrbp1b
ENSDARG00000089033;mettl25b;Mettl25b;rrnad1
ENSDARG00000027236;rs1a;Rs1;rs1a
ENSDARG00000043470;rsph3;Rsph3a;rsph3
ENSDARG00000067606;rsph4a;Rsph4a;rsph4a
ENSDARG00000087176;rskra;Rskr;sgk494a
ENSDARG00000017983;rsph14;Rsph14;rsph14
ENSDARG00000040607;rtf2;Rtf2;rtfdc1
ENSDARG00000052903;rtknb;Rtkn;rtkn2b
ENSDARG00000021143;rtn1b;Rtn1;rtn1b
ENSDARG00000016088;rtn2a;Rtn2;rtn2a
ENSDARG00000104347;rtn4b;Rtn4;rtn4b
ENSDARG00000057027;rtn2b;Rtn2;rtn2b
ENSDARG00000087074;znf574;Zfp574;znf574
ENSDARG00000052826;runx3;Runx3;runx3
ENSDARG00000019038;sgsm3;Sgsm3;sgsm3
ENSDARG00000032820;rxfp2a;Rxfp2;rxfp2a
ENSDARG00000019660;rxfp2b;Rxfp2;rxfp2b
ENSDARG00000057410;rxfp3;Rxfp3;rxfp3
ENSDARG00000104817;pyroxd1;Pyroxd1;ryroxd1
ENSDARG00000055514;icn2;S100a4;icn2
ENSDARG00000042470;s1pr3a;S1pr3;s1pr3a
ENSDARG00000101332;uba2;Uba2;uba2
ENSDARG00000042141;myo6b;Myo6;myo6b
ENSDARG00000079613;sall3a;Sall3;sall3a
ENSDARG00000079446;tafa3a;Tafa3;si:dkey-238f9.1
ENSDARG00000020292;tafa3b;Tafa2;si:ch211-254n4.3
ENSDARG00000061385;haus3;Haus3;haus3
ENSDARG00000058208;slc25a26;Slc25a26;slc25a26
ENSDARG00000094377;samd10b;Samd10;samd10b
ENSDARG00000077852;samd11;Samd11;samd11
ENSDARG00000073789;samd9l;Samd9l;zmp:0000000735
ENSDARG00000054543;samsn1a;Samsn1;samsn1a
ENSDARG00000101903;zfyve9a;Zfyve9;zfyve9a
ENSDARG00000103403;sar1b;Sar1b;sar1b
ENSDARG00000074554;tspan31;Tspan31;tspan31
ENSDARG00000056720;utp3;Utp3;utp3
ENSDARG00000032272;sat1b;Sat1;sat1b
ENSDARG00000029832;slc26a1;Slc26a1;slc26a1
ENSDARG00000035652;sat1a.1;Sat1;sat1a.2
ENSDARG00000036430;sat2a.2;Sat2;sat2a
ENSDARG00000006350;nkx1.2la;Nkx1-2;nkx1.2la
ENSDARG00000099427;nkx1.2lb;Nkx1-1;nkx1.2lb
ENSDARG00000002128;cwf19l1;Cwf19l1;cwf19l1
ENSDARG00000016357;fmo5;Fmo1;fmo5
ENSDARG00000020114;slc20a1a;Slc20a1;slc20a1a
ENSDARG00000073704;si:dkeyp-72g9.4;Depp1;si:dkeyp-72g9.4
ENSDARG00000090980;apof;Apof;apof
ENSDARG00000008247;vezf1a;Vezf1;vezf1a
ENSDARG00000079808;si:ch73-208g10.1;Tcam1;si:ch73-208g10.1
ENSDARG00000071113;xirp2a;Xirp2;xirp2a
ENSDARG00000016483;baiap2l2a;Baiap2l2;baiap2l2a
ENSDARG00000045638;slc13a1;Slc13a1;slc13a1
ENSDARG00000074393;sh3yl1;Sh3yl1;sh3yl1
ENSDARG00000060841;pik3c2a;Pik3c2a;pik3c2a
ENSDARG00000035957;gmnn;Gmnn;gmnn
ENSDARG00000003193;rassf7b;Rassf7;rassf7b
ENSDARG00000012044;polr3gla;Polr3gl;polr3gla
ENSDARG00000104359;anxa1c;Anxa1;anxa1c
ENSDARG00000030340;guk1a;Guk1;guk1a
ENSDARG00000077101;zbtb10;Zbtb10;zbtb10
ENSDARG00000036180;ccnb2;Ccnb2;ccnb2
ENSDARG00000086309;erlec1;Erlec1;erlec1
ENSDARG00000078828;npb;Npb;npb
ENSDARG00000036107;txnipa;Txnip;txnipa
ENSDARG00000101602;preb;Preb;preb
ENSDARG00000009280;smyd1a;Smyd1;smyd1a
ENSDARG00000014013;lbr;Lbr;lbr
ENSDARG00000011079;wdr3;Wdr3;wdr3
ENSDARG00000042853;ivd;Ivd;ivd
ENSDARG00000016745;slc35f6;Slc35f6;slc35f6
ENSDARG00000069242;pdia5;Pdia5;pdia5
ENSDARG00000026322;dhrs13a.1;Dhrs13;dhrs13a.1
ENSDARG00000060169;mns1;Mns1;mns1
ENSDARG00000004311;ldlrap1a;Ldlrap1;ldlrap1a
ENSDARG00000091090;xirp2b;Xirp2;xirp2b
ENSDARG00000099631;cmtm6;Cmtm6;cmtm6
ENSDARG00000077256;nat8l;Nat8l;nat8l
ENSDARG00000103002;nptna;Nptn;nptna
ENSDARG00000014914;lamp2;Lamp2;lamp2
ENSDARG00000062593;stox1;Stox1;stox1
ENSDARG00000021455;strbp;Strbp;strbp
ENSDARG00000070656;cdca3;Cdca3;si:ch211-69g19.2
ENSDARG00000008153;serinc5;Serinc5;serinc5
ENSDARG00000097753;slirp;Slirp;slirp
ENSDARG00000035810;rgcc;Rgcc;rgcc
ENSDARG00000019420;etnk1;Etnk1;etnk1
ENSDARG00000001313;g2e3;G2e3;g2e3
ENSDARG00000069099;tmco1;Tmco1;tmco1
ENSDARG00000074927;bub1bb;Bub1b;bub1bb
ENSDARG00000019808;evpla;Evpl;evpla
ENSDARG00000069037;akip1;Akip1;akip1
ENSDARG00000104278;slc2a8;Slc2a8;slc2a8
ENSDARG00000068128;ppp1r15b;Ppp1r15b;ppp1r15b
ENSDARG00000031761;dab2;Dab2;dab2
ENSDARG00000025403;ftr83;Trim80;ftr83
ENSDARG00000076092;slc31a2;Slc31a2;slc31a2
ENSDARG00000034138;shisa2a;Shisa2;shisa2a
ENSDARG00000055190;slc17a5;Slc17a5;slc17a5
ENSDARG00000037706;gss;Gss;gss
ENSDARG00000102387;slc39a14;Slc39a14;slc39a14
ENSDARG00000087186;zhx3a;Zhx3;si:ch211-232b12.5
ENSDARG00000070434;rhov;Rhov;rhov
ENSDARG00000003754;tspan2a;Tspan2;tspan2a
ENSDARG00000008403;phospho1;Phospho1;phospho1
ENSDARG00000003994;syt9a;Syt9;syt9a
ENSDARG00000011049;slc17a9b;Slc17a9;slc17a9b
ENSDARG00000056090;capza1b;Capza1b;capza1b
ENSDARG00000100729;tln1;Tln1;tln1
ENSDARG00000074756;tfb2m;Tfb2m;tfb2m
ENSDARG00000055075;svila;Svil;svila
ENSDARG00000086826;sult6b1;Sult6b1;sult6b1
ENSDARG00000020741;fga;Fga;fga
ENSDARG00000063636;galnt11;Galntl5;galnt11
ENSDARG00000055373;sema3fb;Sema3f;sema3fb
ENSDARG00000056453;afap1l1b;Afap1l1;afap1l1b
ENSDARG00000020395;mical2b;Mical2;mical2b
ENSDARG00000012368;ttc21b;Ttc21b;ttc21b
ENSDARG00000057649;satb1a;Satb1;satb1a
ENSDARG00000058693;cast;Cast;cast
ENSDARG00000044167;padi2;Padi6;padi2
ENSDARG00000070475;khdrbs1b;Khdrbs1;khdrbs1b
ENSDARG00000060319;scn4bb;Scn4b;scn4bb
ENSDARG00000003520;tbc1d14;Tbc1d14;tbc1d14
ENSDARG00000013997;ern1;Ern1;ern1
ENSDARG00000057099;papss1;Papss1;papss1
ENSDARG00000054418;ssuh2.2;Ssu2;ssuh2.2
ENSDARG00000075129;mrps11;Mrps11;mrps11
ENSDARG00000070480;agr2;Agr2;agr2
ENSDARG00000003779;ctnnd2b;Ctnnd2;ctnnd2b
ENSDARG00000038139;pdgfbb;Pdgfb;pdgfbb
ENSDARG00000055813;mhc1lca;Raet1e;si:dkey-225f5.5
ENSDARG00000103133;hoxc12b;Hoxc12;hoxc12b
ENSDARG00000104618;grem1b;Grem1;grem1b
ENSDARG00000001999;adamts18;Adamts18;adamts18
ENSDARG00000077404;ncoa3;Ncoa3;ncoa3
ENSDARG00000061732;raph1b;Raph1;raph1b
ENSDARG00000103001;kiaa0319;D130043K22Rik;si:ch73-215d9.1
ENSDARG00000076857;her3;Hes3;her3
ENSDARG00000098801;sbno2a;Sbno2;sbno2a
ENSDARG00000043077;nisch;Nisch;nisch
ENSDARG00000037738;fbxl3l;Fbxl21;fbxl3l
ENSDARG00000001015;znf384a;Zfp384;znf384l
ENSDARG00000003127;zgc:123105;4833439L19Rik;zgc:123105
ENSDARG00000062601;piwil2;Piwil2;piwil2
ENSDARG00000077308;gpr84;Gpr84;gpr84
ENSDARG00000078127;neurl4;Neurl4;neurl4
ENSDARG00000054007;ppp1r2;Ppp1r2;ppp1r2
ENSDARG00000044490;tlr9;Tlr9;tlr9
ENSDARG00000062338;zeb2a;Zeb2;zeb2a
ENSDARG00000104162;hoxa11a;Hoxa11;hoxa11a
ENSDARG00000010252;jak3;Jak3;jak3
ENSDARG00000061543;ccdc85b;Ccdc85b;ccdc85b
ENSDARG00000010673;trim16;Trim16;trim16
ENSDARG00000056184;dvl2;Dvl2;dvl2
ENSDARG00000024874;dock4b;Dock4;dock4b
ENSDARG00000058327;neu3.3;Neu3;neu3.3
ENSDARG00000033327;unc5b;Unc5b;unc5b
ENSDARG00000013685;vsig8b;Vsig8;vsig8b
ENSDARG00000015902;stat6;Stat6;stat6
ENSDARG00000059993;trpm4a;Trpm4;trpm4a
ENSDARG00000044325;ddx19a;Ddx19a;zgc:193690
ENSDARG00000060249;wdr44;Wdr44;wdr44
ENSDARG00000063195;pxk;Pxk;pxk
ENSDARG00000060610;pcdh7b;Pcdh7;pcdh7b
ENSDARG00000037062;dhh;Dhh;dhh
ENSDARG00000019392;stat5a;Stat5a;stat5a
ENSDARG00000052142;acvr1bb;Acvr1b;acvr1bb
ENSDARG00000052739;egf;Egf;egf
ENSDARG00000017953;tp73;Trp73;tp73
ENSDARG00000100821;scrt1a;Scrt1;scrt1a
ENSDARG00000055739;ribc1;Ribc1;ribc1
ENSDARG00000007988;masp2;Masp2;masp2
ENSDARG00000004105;tie1;Tie1;tie1
ENSDARG00000055754;smc1a;Smc1a;smc1a
ENSDARG00000042856;itpka;Itpka;itpka
ENSDARG00000058644;dnajb2;Dnajb2;dnajb2
ENSDARG00000071868;znf711;Zfp711;znf711
ENSDARG00000079097;tanc2a;Tanc2;tanc2a
ENSDARG00000035564;dgcr8;Dgcr8;dgcr8
ENSDARG00000076480;mcf2lb;Mcf2l;mcf2lb
ENSDARG00000017466;ncam2;Ncam2;ncam2
ENSDARG00000091555;ostf1;Ostf1;ostf1
ENSDARG00000029501;gsk3aa;Gsk3a;gsk3aa
ENSDARG00000030097;sdcbp;Sdcbp;sdcbp
ENSDARG00000030297;sox13;Sox13;sox13
ENSDARG00000032317;tox;Tox;tox
ENSDARG00000078109;usp12a;Usp12;usp12a
ENSDARG00000093600;omd;Omd;omd
ENSDARG00000063219;ubap2l;Ubap2l;ubap2l
ENSDARG00000060248;fgd4b;Fgd4;fgd4b
ENSDARG00000035918;bzw2;Bzw2;bzw2
ENSDARG00000027016;gbf1;Gbf1;gbf1
ENSDARG00000007245;rundc3aa;Rundc3a;rundc3aa
ENSDARG00000089833;asb13b;Asb13;asb13b
ENSDARG00000054533;araf;Araf;araf
ENSDARG00000044642;sc5d;Sc5d;sc5d
ENSDARG00000018743;scamp5a;Scamp5;scamp5a
ENSDARG00000000906;skap2;Skap2;skap2
ENSDARG00000078824;si:ch211-66e2.3;Icam1;si:ch211-66e2.3
ENSDARG00000100223;gpa33a;Gpa33;si:zfos-1011f11.1
ENSDARG00000061099;nfasca;Nfasc;nfasca
ENSDARG00000016739;lrrc4cb;Lrrc4c;LRRC4C
ENSDARG00000075597;flrt1b;Flrt1;flrt1b
ENSDARG00000006636;slitrk2;Slitrk2;slitrk2
ENSDARG00000071374;lrrtm2;Lrrtm2;lrrtm2
ENSDARG00000079371;lrrc3ca;Lrrc3c;lrrc3ca
ENSDARG00000078415;lrrc3;Lrrc3;lrrc3
ENSDARG00000071230;lrfn5a;Lrfn5;lrfn5a
ENSDARG00000079396;lrfn5b;Lrfn5;lrfn5b
ENSDARG00000079355;flrt2;Flrt2;flrt2
ENSDARG00000070597;prelp;Prelp;prelp
ENSDARG00000004597;lrrc4ba;Lrrc4b;lrrc4ba
ENSDARG00000010294;fmodb;Fmod;fmodb
ENSDARG00000003061;cd276;Cd276;cd276
ENSDARG00000042677;cadm1b;Cadm1;cadm1b
ENSDARG00000009387;robo4;Robo4;robo4
ENSDARG00000033662;scd;Scd2;scd
ENSDARG00000078547;si:ch211-264f5.2;Cd300lg;si:ch211-264f5.2
ENSDARG00000062204;sigirr;Sigirr;sigirr
ENSDARG00000007040;tmigd1;Tmigd1;tmigd1
ENSDARG00000079353;si:ch211-165d12.4;Cd7;si:ch211-165d12.4
ENSDARG00000030265;scdb;Scd1;scdb
ENSDARG00000079611;sema4c;Sema4c;sema4c
ENSDARG00000079191;zgc:172122;Cd200;zgc:172122
ENSDARG00000070537;stmn2b;Stmn2;stmn2b
ENSDARG00000033234;stmn2a;Stmn2;stmn2a
ENSDARG00000019930;tal1;Tal1;tal1
ENSDARG00000011635;scxb;Scx;scxb
ENSDARG00000035695;scxa;Scx;scxa
ENSDARG00000102312;scn5lab;Scn10a;scn12ab
ENSDARG00000060222;scn1ba;Scn1b;scn1ba
ENSDARG00000099031;scn4ba;Scn4b;scn4ba
ENSDARG00000090724;scn12aa;Scn5a;scn12aa
ENSDARG00000012194;scp2a;Scp2;scp2a
ENSDARG00000042031;gorab;Gorab;gorab
ENSDARG00000038074;ergic3;Ergic3;ergic3
ENSDARG00000059906;sdc4;Sdc4;sdc4
ENSDARG00000012513;sdcbp2;Sdcbp;sdcbp2
ENSDARG00000095515;entr1;Entr1;sdccag3
ENSDARG00000005026;tshz1;Tshz1;tshz1
ENSDARG00000055100;cxcl12b;Cxcl12;cxcl12b
ENSDARG00000030139;sdhdb;Sdhd;sdhdb
ENSDARG00000055712;sdhda;Sdhd;sdhda
ENSDARG00000027611;cavin2a;Cavin2;cavin2a
ENSDARG00000071196;cavin2b;Cavin2;cavin2b
ENSDARG00000073737;suds3;Suds3;suds3
ENSDARG00000060323;exoc5;Exoc5;exoc5
ENSDARG00000008936;sec11a;Sec11a;sec11a
ENSDARG00000100435;sec22bb;Sec22b;sec22bb
ENSDARG00000063387;sec22c;Sec22c;sec22c
ENSDARG00000002916;sec31b;Sec31b;sec31b
ENSDARG00000043019;exoc1;Exoc1;exoc1
ENSDARG00000055610;exoc2;Exoc2;exoc2
ENSDARG00000056475;trnau1apb;Trnau1ap;trnau1apb
ENSDARG00000100823;selenok;Selenok;selk
ENSDARG00000019355;coa7;Coa7;coa7
ENSDARG00000070097;selenos;Selenos;vimp
ENSDARG00000019235;sema3aa;Sema3a;sema3aa
ENSDARG00000017369;sema3d;Sema3d;sema3d
ENSDARG00000042210;sema3ab;Sema3a;sema3ab
ENSDARG00000011163;sema3fa;Sema3f;sema3fa
ENSDARG00000061471;sema5ba;Sema5b;sema5ba
ENSDARG00000002748;sema6ca;Sema6c;sema6d
ENSDARG00000011533;sema6d;Sema6d;sema6dl
ENSDARG00000000189;sema6cb;Sema6c;sema6e
ENSDARG00000099236;septin10;Septin14;Sep 10
ENSDARG00000019191;septin12;Septin12;Sep 12
ENSDARG00000030656;septin3;Septin3;Sep 03
ENSDARG00000010385;septin4a;Septin4;sept4a
ENSDARG00000036031;septin5b;Septin5;sept5b
ENSDARG00000087647;septin7a;Septin7;sept7a
ENSDARG00000014233;septin8b;Septin8;sept8b
ENSDARG00000103900;septin9b;Septin9;sept9b
ENSDARG00000045160;msrb1b;Msrb1;msrb1b
ENSDARG00000074340;serf2b;Serf2;serf2
ENSDARG00000095830;serpinb1l1;Serpinb9h;serpinb1l1
ENSDARG00000076448;serpinf2a;Serpinf2;serpinf2a
